title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
Verizon Communications  ( VZ )  Increases Despite Market Slip: Here's What You Need to Know,"In the closing of the recent trading day, Verizon Communications (VZ) stood at $44.48, denoting a +0.41% change from the preceding trading day.",Zacks Commentary,20250415T214515,"[{'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Earnings', 'relevance_score': '0.986564'}, {'topic': 'Technology', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.162504,VZ
Netflix Earnings Preview: A Diamond in the Magnificent 7 Rough,"While most ""Magnificent 7"" stocks have experienced significant declines amidst Wall Street's volatile start to 2025, Netflix stands out as a resilient performer ahead of its upcoming Q1 earnings report on Thursday, April 17th.",Zacks Commentary,20250415T193200,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.980509'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.18115,VZ
APPS Stock Up 58.6% YTD: Can the Rally Sustain Through 2025?,"Digital Turbine stock is gaining from robust advertising demand, international expansion and strategic partnerships, all fueling its growth.",Zacks Commentary,20250415T160600,"[{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.961735'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.315319,VZ
Verizon Communications  ( VZ )  Expected to Beat Earnings Estimates: Can the Stock Move Higher?,Verizon (VZ) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Zacks Commentary,20250415T140036,"[{'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Somewhat-Bullish,0.175182,VZ
A quarter of Gen Z now pays for social media,"Paying to post: new data reveals social media has joined Gen Z's growing list of subscriptions - now costing nearly $1,000 a year Paying to post: new data reveals social media has joined Gen Z's growing list of subscriptions - now costing nearly $1,000 a year ...",GlobeNewswire,20250415T113000,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.170272,VZ
Intelligent Product Solutions Joins Zebra Technologies' PartnerConnect Program - Forward Industries  ( NASDAQ:FORD ) ,"HAUPPAUGE, N.Y., April 14, 2025 ( GLOBE NEWSWIRE ) -- Intelligent Product Solutions ( IPS ) , an award-winning product design and engineering firm specializing in complex systems integration and custom software development, today announced its participation in the award-winning Zebra® ...",Benzinga,20250414T141035,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.333417,VZ
Intelligent Product Solutions Joins Zebra Technologies' PartnerConnect Program,"Intelligent Product Solutions (IPS), a product design and development firm, today announced that it joined the Zebra PartnerConnect program.",GlobeNewswire,20250414T141000,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.317989,VZ
"5G Industrial IOT Market is expected to generate a revenue of USD 22.9 Billion by 2031, Globally, at 37.24% CAGR: Verified Market Research®","Lewes, Delaware, April 14, 2025 ( GLOBE NEWSWIRE ) -- The Global 5G Industrial IOT Market Size is projected to grow at a CAGR of 37.24% from 2024 to 2031, according to a new report published by Verified Market Research®.",Benzinga,20250414T140000,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.108179'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.25141,VZ
Stock Market Crash: The 4 Best Dividend Stocks to Buy Right Now,"With the market being whipsawed, now is a good time to look at some stocks with attractive dividends that could be a ballast in the rough seas. Tariffs remain front and center, and are likely to be the main near-term and medium-term driver of stocks.Let's look at four stocks with attractive ...",Motley Fool,20250413T191800,"[{'topic': 'Financial Markets', 'relevance_score': '0.623304'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.875462'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.298221,VZ
"Don't Worry, AI Investors, the Artificial Intelligence Boom Is Still on -- But There Are Rising Dangers for Nvidia","Despite there being no signs of the artificial intelligence ( AI ) boom slowing down, AI stocks writ large have been hammered in 2025 due to the Trump Administration's tariff threats and policies.AI stocks have obviously risen significantly over the past two years, so they did come into the year ...",Motley Fool,20250413T160000,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Neutral,0.074352,VZ
Think It's Too Late to Buy Verizon? Here's the Biggest Reason Why There's Still Time.,Verizon ( NYSE: VZ ) has gone on a nice run over the past several quarters. Shares of the telecom giant are up about 33% since late 2023. That has outperformed the S&P 500's ( SNPINDEX: ^GSPC ) more than 20% rally during that period. You might be wondering if it's too late to invest in Verizon.,Motley Fool,20250412T091000,"[{'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.962106'}]",Somewhat-Bullish,0.274093,VZ
Check Out What Whales Are Doing With Verizon Communications - Verizon Communications  ( NYSE:VZ ) ,"Investors with a lot of money to spend have taken a bearish stance on Verizon Communications VZ. We noticed this today when the positions showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",Benzinga,20250411T190043,"[{'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.15708,VZ
How Do Investors Really Feel About Verizon Communications? - Verizon Communications  ( NYSE:VZ ) ,"Verizon Communications's VZ short percent of float has fallen 8.51% since its last report. The company recently reported that it has 72.25 million shares sold short, which is 1.72% of all regular shares that are available for trading.",Benzinga,20250411T190021,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}]",Somewhat-Bullish,0.271039,VZ
