title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
"ROSEN, HIGHLY REGARDED INVESTOR COUNSEL, Encourages Geron Corporation Investors to Secure Counsel Before Important Deadline in Securities Class Action - GERN - Geron  ( NASDAQ:GERN ) ","NEW YORK, April 15, 2025 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of securities of Geron Corporation GERN between February 28, 2024 and February 25, 2025, both dates inclusive ( the ""Class Period"" ) , of the important May 12, 2025 lead ...",Benzinga,20250415T230200,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}]",Somewhat-Bullish,0.153147,META
Leqembi®∇  ( lecanemab )  is the First Medicine that Slows Progression of Early Alzheimer's Disease to be Authorized in the European Union,"In the European Union ( EU ) , lecanemab is indicated for the treatment of adult patients with a clinical diagnosis of mild cognitive impairment and mild dementia due to Alzheimer's disease ( early AD ) who are apolipoprotein E ε4 ( ApoE ε4* ) non-carriers or heterozygotes with confirmed amyloid ...",GlobeNewswire,20250415T230000,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}]",Neutral,0.119959,META
Raw Garden Launches Blockbuster Deals for 4/20 Across California,"SANTA BARBARA, Calif., April 15, 2025 ( GLOBE NEWSWIRE ) -- Raw Garden, the leader in clean and green California cannabis, is celebrating 4/20 with a series of exciting events and promotions across the state.",Benzinga,20250415T224259,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.299905,META
IPAX-Linz Study Reports Promising Efficacy for TLX101 Glioma Therapy Candidate,"MELBOURNE, Australia and INDIANAPOLIS, April 16, 2025 ( GLOBE NEWSWIRE ) -- Telix Pharmaceuticals Limited ( ASX: TLX, NASDAQ: TLX, Telix, the Company ) today announces preliminary results from the Phase 2 IPAX-Linz study of TLX101 ( 131I-iodofalan1 ) in recurrent high-grade glioma ( brain cancer ...",GlobeNewswire,20250415T223700,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.576289'}]",Somewhat-Bullish,0.157094,META
"ROSEN, LEADING TRIAL ATTORNEYS, Encourages Perpetua Resources Corp. Investors to Secure Counsel Before Important Deadline in Securities Class Action - PPTA - Perpetua Resources  ( NASDAQ:PPTA ) ","NEW YORK, April 15, 2025 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of securities of Perpetua Resources Corp. PPTA between April 17, 2024 and February 13, 2025, both dates inclusive ( the ""Class Period"" ) , of the important May 20, 2025 ...",Benzinga,20250415T222200,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}]",Somewhat-Bullish,0.169555,META
"ROSEN, TRUSTED INVESTOR COUNSEL, Encourages Sana Biotechnology, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - SANA - Sana Biotechnology  ( NASDAQ:SANA ) ","NEW YORK, April 15, 2025 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of securities of Sana Biotechnology, Inc. SANA between March 17, 2023 and November 4, 2024, inclusive ( the ""Class Period"" ) , of the important May 20, 2025 lead plaintiff ...",Benzinga,20250415T220600,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}]",Neutral,0.147849,META
Meta Platforms  ( META )  Declines More Than Market: Some Information for Investors,"The latest trading day saw Meta Platforms (META) settling at $521.52, representing a -1.87% change from its previous close.",Zacks Commentary,20250415T214515,"[{'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Earnings', 'relevance_score': '0.983783'}, {'topic': 'Technology', 'relevance_score': '1.0'}]",Neutral,0.147892,META
"Synaptics to Report Third Quarter Fiscal 2025 Results on May 8, 2025","SAN JOSE, Calif., April 15, 2025 ( GLOBE NEWSWIRE ) -- Synaptics® Incorporated ( Nasdaq: SYNA ) today announced that it will report financial results for the third quarter of fiscal 2025 on Thursday, May 8, 2025, after the market closes.",GlobeNewswire,20250415T210300,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.328676,META
FOX NEWS DIGITAL CONTINUES TO TOP BROADCAST NETWORKS AND ALL MAJOR NEWS ORGANIZATIONS WITH MULTIPLATFORM VIEWS AND MINUTES DURING FIRST QUARTER 2025,"NEW YORK, April 15, 2025 /PRNewswire/ -- FOX News Digital finished the first quarter of 2025 topping broadcast networks and outperforming the competitive set in both multiplatform views and multiplatform minutes.",Benzinga,20250415T194400,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",Neutral,0.129997,META
Sam Altman's OpenAI Explores Creating Social Media Competitor To Elon Musk's X,Sam Altman's OpenAI is exploring founding a new social media competitor to Elon Musk's X. Altman and Musk have feuded for several years over OpenAI's for-profit status. China's new tariffs just reignited the same market patterns that led to triple- and quadruple-digit wins for Matt Maley.,Benzinga,20250415T193905,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Neutral,0.110615,META
