title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
Moody's  ( MCO )  Reports Next Week: Wall Street Expects Earnings Growth,Moody's (MCO) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Zacks Commentary,20250415T140041,"[{'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",Neutral,0.13587,AXP
Can Visa Keep Delivering Under Tariff Pressure? Time to Buy or Bail?,"V is well-positioned for growth, supported by the global shift away from cash toward digital payments.",Zacks Commentary,20250415T112900,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Earnings', 'relevance_score': '0.947132'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.310843'}]",Somewhat-Bullish,0.209898,AXP
"The Zacks Analyst Blog Abbott, Taiwan Semiconductor, American Express, ManpowerGroup and D.R. Horton","Abbott, Taiwan Semiconductor, American Express, ManpowerGroup and D.R. Horton are included in this Analyst Blog.",Zacks Commentary,20250415T112500,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.998626'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Neutral,-0.023966,AXP
Is AmEx Stock a Buy Ahead of Q1 Earnings? Key Factors to Watch,AXP is likely to have witnessed a rise in network volumes and lower profits from Global Merchant and Network Services during the first quarter.,Zacks Commentary,20250415T110800,"[{'topic': 'Earnings', 'relevance_score': '0.997874'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",Somewhat-Bullish,0.268599,AXP
"US Stock Futures Slip As Investors Brace Themselves For Netflix, AmEx Earnings This Week - Nikkei Up On Strong Sentiment - Bank of America  ( NYSE:BAC ) , American Express  ( NYSE:AXP ) ","After two days of back-to-back gains in the spot market, U.S. stock futures had a choppy session Monday night as investors await earnings reports from multiple prominent companies.",Benzinga,20250415T020837,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}]",Neutral,0.138995,AXP
5 Top Stock Charts for This Week,"Tracey Ryniec talks about a new strategy for Q1 earnings season, including impacts of the tariffs, on ABT, TSM, AXP, MAN, and DHI.",Zacks Commentary,20250415T004200,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.998626'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Neutral,-0.064414,AXP
Zymra Under Review: Natural Fat Burning System - Safe OTC Alternative to GLP-1 Drugs,"New York City, April 14, 2025 ( GLOBE NEWSWIRE ) -- Losing weight is more complicated than simply eating less and moving more. For many adults, especially those over the age of 30, persistent weight gain is the result of biological resistance-not a lack of willpower.",Benzinga,20250415T000730,"[{'topic': 'Economy - Fiscal', 'relevance_score': '0.451494'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.18693,AXP
Best Sweepstakes Casino 2025: Crown Coins Casino Voted Best for Sweeps Coins,"New York City, April 14, 2025 ( GLOBE NEWSWIRE ) -- Are you trying to find the top casinos in the US for sweepstakes? You're in the right place. We have compiled a reliable list of online Sweepstakes Casinos you can enjoy online.",Benzinga,20250414T190612,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",Bullish,0.509282,AXP
Bank Of America Q1 Earnings Preview: Can Warren Buffett's Favorite Continue Beating Estimates? - Bank of America  ( NYSE:BAC ) ,Bank of America has beaten analyst estimates for revenue in nine of the last 10 quarters. The company reports financial results in a week that comes with high uncertainty around Donald Trump'd tariff policies. Feel unsure about the market's next move?,Benzinga,20250414T183549,"[{'topic': 'Financial Markets', 'relevance_score': '0.996023'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.996718'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,0.050272,AXP
This Is What Whales Are Betting On American Express - American Express  ( NYSE:AXP ) ,"Investors with a lot of money to spend have taken a bullish stance on American Express AXP. We noticed this today when the trades showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",Benzinga,20250414T170045,"[{'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.99393'}]",Somewhat-Bullish,0.218921,AXP
