title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
"'Minecraft' Box Office Success Could See More Adaptations: Elon Musk Wants This Video Game Movie Next - AMC Entertainment Hldgs  ( NYSE:AMC ) , Amazon.com  ( NASDAQ:AMZN ) ","The ""Minecraft"" movie exceeds box office expectations. As movie studios look to games for new ideas, billionaire Elon Musk has a suggestion for which game should be next. China's new tariffs just reignited the same market patterns that led to triple- and quadruple-digit wins for Matt Maley.",Benzinga,20250415T223911,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Somewhat-Bullish,0.268265,NFLX
"Netflix Wants To Be The Next $1 Trillion Company, Analyst Highlights Growth Path - Netflix  ( NASDAQ:NFLX ) ","BofA sees Netflix hitting $1T valuation by 2030, driven by ads, global growth, and rising subscriber momentum. Netflix stock jumps as analyst keeps Buy rating, citing strong earnings, 300M+ subs, and ad revenue potential. Feel unsure about the market's next move?",Benzinga,20250415T202857,"[{'topic': 'Earnings', 'relevance_score': '0.99676'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}]",Somewhat-Bullish,0.345369,NFLX
Why Netflix Stock Barreled Higher on Tuesday,There are reports that the streaming pioneer has plans to reach some lofty goals.,Motley Fool,20250415T200143,"[{'topic': 'Financial Markets', 'relevance_score': '0.538269'}]",Somewhat-Bullish,0.225287,NFLX
Netflix Earnings Preview: A Diamond in the Magnificent 7 Rough,"While most ""Magnificent 7"" stocks have experienced significant declines amidst Wall Street's volatile start to 2025, Netflix stands out as a resilient performer ahead of its upcoming Q1 earnings report on Thursday, April 17th.",Zacks Commentary,20250415T193200,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.980509'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.18115,NFLX
Netflix vs. Disney: Which Streaming Giant is a Stronger Stock Pick?,"DIS' diverse revenue streams, solid content pipeline and strategic sports integration offer investors stronger long-term upside compared to NFLX's premium pricing.",Zacks Commentary,20250415T190000,"[{'topic': 'Earnings', 'relevance_score': '0.961735'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",Bullish,0.490504,NFLX
"Netflix, Ericsson, Hewlett Packard Enterprise And Other Big Stocks Moving Higher On Tuesday  ( CORRECTED )  - Telefonaktiebolaget L M  ( NASDAQ:ERIC ) , Eos Energy Enterprises  ( NASDAQ:EOSE ) ","Editor's Note: This headline has been corrected to reflect that the stock moves occurred on Tuesday U.S. stocks were higher, with the Dow Jones index gaining around 50 points on Tuesday. Shares of Netflix, Inc.",Benzinga,20250415T154123,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.77141'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.2'}]",Bullish,0.391207,NFLX
"Netflix, Ericsson, Hewlett Packard Enterprise And Other Big Stocks Moving Higher On Monday - Telefonaktiebolaget L M  ( NASDAQ:ERIC ) , Eos Energy Enterprises  ( NASDAQ:EOSE ) ","U.S. stocks were higher, with the Dow Jones index gaining around 50 points on Tuesday. Shares of Netflix, Inc. NFLX rose sharply during Tuesday's session after a Wall Street Journal report said the company aims to double its revenue by 2030.",Benzinga,20250415T142818,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.77141'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.2'}]",Bullish,0.405695,NFLX
Netflix Stock Is Rising Ahead Of Earnings This Week: What's Going On? - Netflix  ( NASDAQ:NFLX ) ,"Netflix shares ambitions growth targets at its annual business review meeting, including plans to double its revenue by 2030. Netflix is also targeting $9 billion in global ad sales by 2030 and aims to triple its operating income from $10 billion last year.",Benzinga,20250415T135207,"[{'topic': 'Earnings', 'relevance_score': '0.918141'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Somewhat-Bullish,0.31242,NFLX
Creator of $132 Million Global Phishing Service Jailed for Eight Years,"Phishing service LabHost charged fraudsters up to $300 in Bitcoin a month, with its creator receiving over $230,000 in crypto.",Decrypt.co,20250415T132345,"[{'topic': 'Blockchain', 'relevance_score': '0.310843'}]",Somewhat-Bearish,-0.163574,NFLX
A quarter of Gen Z now pays for social media,"Paying to post: new data reveals social media has joined Gen Z's growing list of subscriptions - now costing nearly $1,000 a year Paying to post: new data reveals social media has joined Gen Z's growing list of subscriptions - now costing nearly $1,000 a year ...",GlobeNewswire,20250415T113000,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.170272,NFLX
"The Zacks Analyst Blog Abbott, Taiwan Semiconductor, American Express, ManpowerGroup and D.R. Horton","Abbott, Taiwan Semiconductor, American Express, ManpowerGroup and D.R. Horton are included in this Analyst Blog.",Zacks Commentary,20250415T112500,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.998626'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Neutral,-0.023966,NFLX
"Netflix Eyes $1 Trillion Market Cap By 2030, Aims To Double Revenue And Dominate Global Streaming: Report - Netflix  ( NASDAQ:NFLX ) ","Netflix Inc. NFLX aims to more than double its market capitalization to $1 trillion by 2030, showcasing ambitious growth targets that underscore its position as the world's leading streaming service.",Benzinga,20250415T063423,"[{'topic': 'Financial Markets', 'relevance_score': '0.929393'}]",Bullish,0.385434,NFLX
"US Stock Futures Slip As Investors Brace Themselves For Netflix, AmEx Earnings This Week - Nikkei Up On Strong Sentiment - Bank of America  ( NYSE:BAC ) , American Express  ( NYSE:AXP ) ","After two days of back-to-back gains in the spot market, U.S. stock futures had a choppy session Monday night as investors await earnings reports from multiple prominent companies.",Benzinga,20250415T020837,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}]",Neutral,0.138995,NFLX
5 Top Stock Charts for This Week,"Tracey Ryniec talks about a new strategy for Q1 earnings season, including impacts of the tariffs, on ABT, TSM, AXP, MAN, and DHI.",Zacks Commentary,20250415T004200,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.998626'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Neutral,-0.064414,NFLX
Are Netflix Shares Being Overlooked?,Shares have gained more than 50% over the past year on the back of strong quarterly results. Has anybody been watching?,Zacks Commentary,20250414T213300,"[{'topic': 'Earnings', 'relevance_score': '0.650727'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Bullish,0.362406,NFLX
Mattel Shares Rise On WWE Licensing Deal Extension - Mattel  ( NASDAQ:MAT ) ,Mattel renewed its global licensing agreement with WWE to continue producing action figures and related products. Mattel stock rose 1.86% as investors reacted to the extended partnership and WWE's growing international exposure via Netflix.,Benzinga,20250414T202333,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Bullish,0.413582,NFLX
Behind the Scenes of Netflix's Latest Options Trends - Netflix  ( NASDAQ:NFLX ) ,"Whales with a lot of money to spend have taken a noticeably bearish stance on Netflix. Looking at options history for Netflix NFLX we detected 371 trades. If we consider the specifics of each trade, it is accurate to state that 40% of the investors opened trades with bullish expectations and 48% ...",Benzinga,20250414T200058,"[{'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}]",Somewhat-Bullish,0.160112,NFLX
"Netflix Gears Up to Report Q1 Earnings: Buy, Sell or Hold NFLX Stock?","NFLX shows promise, but valuation reflects growth. Investors can hold the stock and wait for better entry amid Q1 seasonality, FX pressures, and streaming competition.",Zacks Commentary,20250414T190000,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Earnings', 'relevance_score': '0.998917'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.304145,NFLX
Earnings Season Begins With Major Banks Beating Expectations,"This week, the main focus will be on earnings, but more importantly, forward guidance. On Friday, we received earnings reports from several banks, including JPMorgan, Wells Fargo, BlackRock, and Morgan Stanley.",Benzinga,20250414T171810,"[{'topic': 'Earnings', 'relevance_score': '0.576289'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}]",Bullish,0.367678,NFLX
Netflix  ( NFLX )  Q1 Earnings Preview: What You Should Know Beyond the Headline Estimates,"Beyond analysts' top -and-bottom-line estimates for Netflix (NFLX), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended March 2025.",Zacks Commentary,20250414T131515,"[{'topic': 'Earnings', 'relevance_score': '0.999966'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",Neutral,0.120246,NFLX
