title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
OPEC Revises Oil Demand Outlook Amid Shifting Market Trends,"CVX, COP and EOG offer stability and upside, as OPEC's outlook signals slower growth but confirms oil's lasting role in the global economy.",Zacks Commentary,20250415T130500,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.179792,CVX
"The Zacks Analyst Blog Bank of America, Chevron, Stryker, Value Line and Sypris","Bank of America, Chevron, Stryker, Value Line and Sypris are included in this Analyst Blog.",Zacks Commentary,20250415T104600,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.980922'}, {'topic': 'Earnings', 'relevance_score': '0.614606'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.29252,CVX
Get Income Like Warren Buffett: 3 Dividend Stocks in Berkshire Hathaway's Portfolio That Pay You Back,"Warren Buffett is famous because of the long-term success he has achieved running Berkshire Hathaway. But there are two interesting things about this company. First, it is run kind of like a mutual fund. Second, it doesn't pay dividends despite the fact that Buffett often invests in ...",Motley Fool,20250415T082300,"[{'topic': 'Financial Markets', 'relevance_score': '0.999967'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.272564,CVX
These Oil Stocks Can Thrive Even With Crude Prices Sinking,"Oil prices have tumbled this year. WTI, the primary U.S. oil price benchmark, has plunged from about $80 a barrel in early January to around $60 a barrel. The culprit has been the concern that tariffs will slow the global economy, driving down demand for crude oil.",Motley Fool,20250415T081400,"[{'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",Neutral,0.136451,CVX
Energy Secretary Chris Wright Is 'Bullish' As Oil Prices Crater - Exxon Mobil  ( NYSE:XOM ) ,"""The U.S. shale industry is going to survive and thrive,"" says Energy Secretary Chris Wright. OPEC+ cuts its 2025-26 global oil demand growth forecast on Monday by 100,000 barrels per day due to slower growth.",Benzinga,20250414T152658,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.192646,CVX
These Were the 2 Top-Performing Stocks in the Dow Jones Industrial Average in March 2025,"March 2025 might seem like ages ago in market years, as the Trump tariffs have rocked the market like few things before it. However, the trends in March are not so different from what's happening now, as consumer sentiment was rapidly weakening and fears of a recession were mounting before the ...",Motley Fool,20250414T131600,"[{'topic': 'Energy & Transportation', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}]",Neutral,0.099767,CVX
Chevron's Venezuela Oil Exports Stalled by PDVSA Amid Sanctions,CVX's Venezuelan oil shipments halted by PDVSA amid payment uncertainty due to U.S. sanctions derails its plans to export oil.,Zacks Commentary,20250414T114400,"[{'topic': 'Energy & Transportation', 'relevance_score': '1.0'}]",Neutral,-0.093621,CVX
Should You Invest in the iShares U.S. Energy ETF  ( IYE ) ?,Sector ETF report for ...,Zacks Commentary,20250414T102006,"[{'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.246674,CVX
"Zacks Value Trader Highlights: Exxon Mobil, Chevron and EOG Resources","Exxon Mobil, Chevron and EOG Resources have been highlighted in this Value Trader article.",Zacks Commentary,20250414T071400,"[{'topic': 'Earnings', 'relevance_score': '0.682689'}, {'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.999967'}]",Somewhat-Bullish,0.187503,CVX
Why I Bought More of This Top Warren Buffett Dividend Stock During the Recent Stock Market Sell-Off,"The stock market has sold off hard this year. The Nasdaq Composite recently entered bear market territory, tumbling more than 20% from its peak late last year, while the S&P 500 was heading in that direction. The culprit is a concern that tariffs could cause a recession.",Motley Fool,20250412T072800,"[{'topic': 'Energy & Transportation', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.999975'}]",Neutral,0.082562,CVX
Chevron  ( CVX )  Ascends But Remains Behind Market: Some Facts to Note,"Chevron (CVX) closed at $135.63 in the latest trading session, marking a +0.48% move from the prior day.",Zacks Commentary,20250411T214516,"[{'topic': 'Earnings', 'relevance_score': '0.972476'}, {'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",Somewhat-Bullish,0.158965,CVX
Chevron Corporation  ( CVX )  Is a Trending Stock: Facts to Know Before Betting on It,"Chevron (CVX) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",Zacks Commentary,20250411T130015,"[{'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.54554'}]",Somewhat-Bullish,0.202115,CVX
"Trump Revokes Shell, BP Gas Licenses for Offshore Venezuela","The Trump administration has revoked Shell and BP's Venezuela gas licenses, escalating a crackdown that began with Chevron and now threatens Trinidad's energy security.",Zacks Commentary,20250411T104600,"[{'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",Somewhat-Bullish,0.252483,CVX
Energy Stocks Take a Dive: Values or Traps?,"Oil is back to $60. Tracey Ryniec, Zacks Value Stock Strategist, looks at the earnings outlook for 3 big oil companies.",Zacks Commentary,20250410T230900,"[{'topic': 'Earnings', 'relevance_score': '0.682689'}, {'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}]",Neutral,0.074769,CVX
Ecopetrol  ( EC )  Moves 10.0% Higher: Will This Strength Last?,Ecopetrol (EC) saw its shares surge in the last session with trading volume being higher than average. The latest trend in earnings estimate revisions may not translate into further price increase in the near term.,Zacks Commentary,20250410T124300,"[{'topic': 'Earnings', 'relevance_score': '0.986564'}, {'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}]",Somewhat-Bullish,0.259717,CVX
"Why We Are Fading Apple's 15% Rally - Apple  ( NASDAQ:AAPL ) , Chevron  ( NYSE:CVX ) ","As ZaStocks pointed out on X, it was the second-biggest single day gain in Nasdaq history. The other two happened during bear markets. Today marked the second largest single day gain in NASDAQ history. 1. 1/3/2001, +14.17% 2. 4/9/2025, +12% 3. 10/13/2008, +11.81%",Benzinga,20250410T120909,"[{'topic': 'Energy & Transportation', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.918141'}]",Somewhat-Bullish,0.155192,CVX
