title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
Ericsson Q1 Earnings Beat Estimates on Higher Revenues,"ERIC reports mixed first-quarter 2025 results, driven by solid demand in the Networks Segment along with multiple deal wins.",Zacks Commentary,20250415T150200,"[{'topic': 'Earnings', 'relevance_score': '0.999336'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Neutral,0.079816,IBM
Is Invesco Large Cap Value ETF  ( PWV )  a Strong ETF Right Now?,Smart Beta ETF report for ...,Zacks Commentary,20250415T102006,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.999996'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.320967,IBM
Want to Invest in Quantum Computing? 3 Stocks That Are Great Buys Right Now,Looking to invest in the future of computing without excessive risk? These three tech powerhouses are building quantum capabilities while generating massive profits from their more well-known core businesses.,Motley Fool,20250412T114900,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.684621'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}]",Somewhat-Bullish,0.181366,IBM
"Deal Dispatch: Harley-Davidson To Wipe Out? Plus, Prada's Versace Purchase Garners A Fashionable Price - Capri Holdings  ( NYSE:CPRI ) , NIOX Group  ( OTC:CSSPF ) ","Impresoft, Keros Therapeutics and Rivalry Corp. are all in the midst of exploring strategic alternatives, including sale processes. Lucid Group continues its slow climb as a Tesla rival by striking a deal to acquire now-bankrupt Nikola Corp.",Benzinga,20250411T183549,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.108179'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}]",Neutral,0.095658,IBM
IBM's AI Mainframe Will Boost Revenue This Year,"While International Business Machines ( NYSE: IBM ) generates most of its revenue from software and consulting services, the company's hardware business is still an important piece of the puzzle. IBM's mainframe systems, known for their extreme reliability, remain a workhorse in certain ...",Motley Fool,20250409T093500,"[{'topic': 'Earnings', 'relevance_score': '0.929393'}, {'topic': 'Technology', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.226552,IBM
How IBM Soared 13% While Markets Sank in Q1 2025,IBM's stock defied market trends with a 13% gain in Q1 2025. Here's how Big Blue pulled off this impressive feat while the S&P 500 struggled.,Motley Fool,20250408T173156,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.996023'}, {'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.294276,IBM
IBM Boosts Data & AI Consulting Capabilities With Strategic Buyout,The buyout of data consultancy provider Hakkoda will strengthen IBM's consulting expertise and support its clients' AI transformation initiatives.,Zacks Commentary,20250408T162500,"[{'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Bullish,0.409897,IBM
IBM launches new mainframe system to handle heavy workload of AI models,The new z17 mainframe enables a chunk of business data to remain on customer-owned servers and not hosted on the cloud.,South China Morning Post,20250408T073836,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.181917,IBM
IBM watsonx AI to Boost Fan Experience in 2025 Masters Tournament,IBM watsonx introduces new AI native features in the Master's App and website to ensure an immersive experience for golf fans.,Zacks Commentary,20250407T161000,"[{'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Bullish,0.37276,IBM
IBM Enhances AI Consulting Muscle With Hakkoda Deal - IBM  ( NYSE:IBM ) ,"IBM acquires Hakkoda to boost data transformation services and support AI-driven operations. Deal strengthens IBM Consulting's ability to deliver high-performance, AI-ready data solutions for clients.",Benzinga,20250407T160138,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Bullish,0.443002,IBM
Top AI Stocks to Add to Your Portfolio for Healthy Returns,"Here, we pick three AI stocks, META, IBM and OKTA, which are well poised to benefit from AI's growing pervasiveness and huge spending by tech giants.",Zacks Commentary,20250407T154700,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Bullish,0.369254,IBM
IBM Boosts Canadian AI Infrastructure With Montreal And Toronto Cloud Advances - IBM  ( NYSE:IBM ) ,IBM launches a new Cloud MZR in Montreal to support AI growth. IBM's watsonx AI now available in Toronto to ensure compliance. Feel unsure about the market's next move? Copy trade alerts from Matt Maley-a Wall Street veteran who consistently finds profits in volatile markets.,Benzinga,20250403T135119,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",Somewhat-Bullish,0.224035,IBM
