title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker,llm_evidence,llm_predicted_movement,llm_explanation
This Is What Whales Are Betting On Blackstone - Blackstone  ( NYSE:BX ) ,"Investors with a lot of money to spend have taken a bullish stance on Blackstone BX. We noticed this today when the trades showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",Benzinga,20250415T190105,"[{'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.990999'}]",Somewhat-Bullish,0.186084,BX,"['Whales are betting on Blackstone', 'Investors with a lot of money', 'Bullish stance on Blackstone', 'Trades showed up on publicly available options history']",Up,"The evidence suggests that large investors, possibly institutions or wealthy individuals, are taking a bullish stance on Blackstone. The fact that trades showing bullish sentiment are visible in publicly available options history indicates a positive outlook. Therefore, it is likely that the short-term stock movement of BX will be Up."
Gear Up for Blackstone Inc.  ( BX )  Q1 Earnings: Wall Street Estimates for Key Metrics,"Evaluate the expected performance of Blackstone Inc. (BX) for the quarter ended March 2025, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",Zacks Commentary,20250414T131517,"[{'topic': 'Earnings', 'relevance_score': '0.980509'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",Somewhat-Bullish,0.211713,BX,"['expected performance', 'key metrics', 'better insight']",Up,"The headline and summary suggest that analysts are optimistic about Blackstone Inc.'s Q1 earnings, focusing on key metrics beyond traditional estimates. This indicates a deeper analysis and positive outlook, leading to a likely increase in the stock price in the short term."
Blackstone Set to Report Q1 Earnings: What's in the Cards for BX?,Decent inflows and a decent rise in profits from deal exits are expected to have supported Blackstone's Q1 earnings.,Zacks Commentary,20250414T123400,"[{'topic': 'Earnings', 'relevance_score': '0.999965'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Neutral,0.121747,BX,"['Decent inflows', 'decent rise in profits', ""supported Blackstone's Q1 earnings""]",Up,"The evidence suggests positive factors such as decent inflows and rise in profits supporting Blackstone's Q1 earnings. This indicates a potential positive sentiment towards the company, leading to a likely short-term stock movement upwards."
Spotlight on Blackstone: Analyzing the Surge in Options Activity - Blackstone  ( NYSE:BX ) ,"Deep-pocketed investors have adopted a bearish approach towards Blackstone BX, and it's something market players shouldn't ignore. Our tracking of public options records at Benzinga unveiled this significant move today.",Benzinga,20250411T170039,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.995077'}]",Neutral,0.147636,BX,"['bearish approach towards Blackstone BX', 'significant move today', 'Surge in Options Activity']",Down,"The evidence suggests that deep-pocketed investors have taken a bearish stance towards Blackstone BX, as indicated by the surge in options activity. This sentiment is likely to lead to a downward pressure on the stock in the short term as investors may be betting on a decrease in its value."
"BlackRock's Q1 Earnings Beat on AUM Growth & Higher Revenues, Stock Up",Higher revenues and record AUM numbers support BLK's Q1 earnings amid rising expenses and weak market performance.,Zacks Commentary,20250411T123800,"[{'topic': 'Earnings', 'relevance_score': '0.996718'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Somewhat-Bullish,0.183905,BX,"['Higher revenues', 'record AUM numbers', 'Q1 earnings beat', 'stock up']",Up,"The evidence suggests that BlackRock (BX) had a strong Q1 performance with higher revenues and record AUM numbers, leading to a positive sentiment. This positive news is likely to drive investor confidence and increase demand for BX stock, resulting in a likely short-term upward movement."
Blackstone Inc.  ( BX )  Surges 14.4%: Is This an Indication of Further Gains?,Blackstone Inc. (BX) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock doesn't suggest further strength down the road.,Zacks Commentary,20250410T150300,"[{'topic': 'Earnings', 'relevance_score': '0.972476'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}]",Somewhat-Bullish,0.162934,BX,"['Surges 14.4%', 'jump in share price last session', 'above-average trading volume']",Up,"The evidence suggests that Blackstone Inc. (BX) experienced a significant surge in its share price with high trading volume, indicating strong buying interest. This positive momentum is likely to continue in the short term, leading to an upward movement in the stock price."
Blackstone Inc.  ( BX )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release,Blackstone Inc. (BX) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Zacks Commentary,20250410T140012,"[{'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",Somewhat-Bullish,0.157271,BX,"['Earnings Expected to Grow', 'key expectations']",Up,"The evidence suggests that Blackstone Inc.'s earnings are expected to grow, indicating positive performance. Additionally, the focus on key expectations implies that investors are anticipating favorable results in the upcoming report. Therefore, the likely short-term stock movement for BX is Up."
Blackstone Secured Lending Fund  ( BXSL )  Stock Jumps 7.9%: Will It Continue to Soar?,Blackstone Secured Lending Fund (BXSL) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.,Zacks Commentary,20250410T133300,"[{'topic': 'Financial Markets', 'relevance_score': '0.413559'}, {'topic': 'Earnings', 'relevance_score': '0.976913'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.198444,BX,"['Stock Jumps 7.9%', 'big mover last session', 'higher-than-average trading volume', 'latest trend in earnings estimate revisions']",Up,"The evidence suggests positive momentum for BX, with the stock jumping 7.9% and being a big mover in the last session. The higher-than-average trading volume indicates increased investor interest. Additionally, the latest trend in earnings estimate revisions could further support the stock's upward movement in the short term, aligning with the somewhat-bullish sentiment."
Strength Seen in Apollo Commerical Finance  ( ARI ) : Can Its 7.3% Jump Turn into More Strength?,Apollo Commerical Finance (ARI) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.,Zacks Commentary,20250410T131100,"[{'topic': 'Financial Markets', 'relevance_score': '0.998962'}, {'topic': 'Earnings', 'relevance_score': '0.972476'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.272872,BX,"['Strength Seen', '7.3% Jump', 'big mover last session', 'higher-than-average trading volume', 'earnings estimate revisions might not help']",Up,"The evidence suggests positive momentum with phrases like 'Strength Seen,' '7.3% Jump,' and 'big mover last session.' Despite the caution about earnings estimate revisions, the overall sentiment is somewhat bullish, indicating a potential upward movement in the short term for BX."
IFS vs. BX: Which Stock Is the Better Value Option?,Investors interested in Financial - Miscellaneous Services stocks are likely familiar with Intercorp Financial Services Inc. ( IFS Quick QuoteIFS - ) and Blackstone Inc. ( BX Quick QuoteBX - ) . But which of these two companies is the best option for those looking for undervalued stocks?,Zacks Commentary,20250409T154008,"[{'topic': 'Earnings', 'relevance_score': '0.838487'}, {'topic': 'Finance', 'relevance_score': '1.0'}]",Bullish,0.459584,BX,"['undervalued stocks', 'better value option']",Up,"The sentiment of being 'Bullish' combined with phrases like 'undervalued stocks' and 'better value option' suggest positive outlook and potential growth for BX. Investors seeking undervalued stocks may see BX as a promising investment, leading to an expected short-term stock movement upwards."
