title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
"AI, Waymo & Wiz: Can These 3 Factors Push GOOGL Stock Up?",Alphabet is strengthening its competitive position in the search and cloud with the infusion of AI amid challenging macroeconomic conditions.,Zacks Commentary,20250415T190000,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}, {'topic': 'Earnings', 'relevance_score': '0.714479'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.187831,ORCL
P/E Ratio Insights for Oracle - Oracle  ( NYSE:ORCL ) ,"In the current market session, Oracle Inc. ORCL share price is at $135.40, after a 0.56% spike. Moreover, over the past month, the stock fell by 9.40%, but in the past year, went up by 14.10%.",Benzinga,20250415T170031,"[{'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}]",Somewhat-Bullish,0.211801,ORCL
Will PRGS' AI-Powered Upgrades to Sitefinity Drive the Stock Upward?,Progress Software strengthens Sitefinity content management platform with new AI capabilities to power digital experiences.,Zacks Commentary,20250415T145600,"[{'topic': 'Earnings', 'relevance_score': '0.983783'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.30851,ORCL
"2 Artificial Intelligence  ( AI )  Stocks to Buy Before They Soar 39% to 77%, According to Wall Street Analysts",Artificial intelligence ( AI ) stocks haven't been performing well on the market in 2025 amid the tariff-fueled turmoil that threatens to send the U.S. economy into a recession. Share prices of cloud infrastructure provider Oracle ( NYSE: ORCL ) are down nearly 20% so far in 2025 as of this ...,Motley Fool,20250412T081000,"[{'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.990999'}]",Somewhat-Bullish,0.224214,ORCL
Can Alphabet's New AI and Cloud Launches Push the Stock Higher?,"GOOGL unveils Ironwood Tensor Processing Unit, Cloud Wide Area Network, and Gemini 2.5 AI model to power next-generation enterprise AI and quantum breakthroughs.",Zacks Commentary,20250411T152500,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Neutral,0.089029,ORCL
MongoDB Stock Plunges 54% in a Year: Here's Why You Should Stay Away,"MDB's weak revenue guidance, intense competition, and broader market headwinds serve as a clear warning sign for investors to stay away.",Zacks Commentary,20250411T132600,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}, {'topic': 'Earnings', 'relevance_score': '0.744043'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Neutral,0.090293,ORCL
"Palantir Stock Appreciates 22% Year to Date: Buy, Hold, or Sell?","Given PLTR's continuous rise in stock price, it's essential to evaluate its current standing and determine whether this presents a buying opportunity.",Zacks Commentary,20250410T174100,"[{'topic': 'Financial Markets', 'relevance_score': '0.980922'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.219791,ORCL
AMD's EPYC Powers GOOGL & ORCL Solutions: Should You Hold the Stock?,Advanced Micro Devices is benefiting from an expanding usage of its fifth-generation EPYC processors.,Zacks Commentary,20250410T164900,"[{'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.156029,ORCL
Should You Invest in the iShares Expanded Tech-Software Sector ETF  ( IGV ) ?,Sector ETF report for ...,Zacks Commentary,20250410T102005,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.179806,ORCL
The Stock Market Has Crashed: My Top 5 Dirt Cheap Tech Stocks to Buy Now,"President Trump's announcement of tariffs on imports from countries worldwide has rocked the stock market -- and the tech-heavy Nasdaq Composite ( NASDAQINDEX: ^IXIC ) has led the decline, crashing more than 20% from its most recent high.Why are tech stocks being hit so hard?",Motley Fool,20250409T221000,"[{'topic': 'Financial Markets', 'relevance_score': '0.918141'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.999894'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.229753,ORCL
